"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"RFC1","A1; RFC; PO-GA; RECC1; MHCBFB; RFC140","replication factor C subunit 1","This gene encodes the large subunit of replication factor C, a five subunit DNA polymerase accessory protein, which is a DNA-dependent ATPase required for eukaryotic DNA replication and repair. The large subunit acts as an activator of DNA polymerases, binds to the 3' end of primers, and promotes coordinated synthesis of both strands. It may also have a role in telomere stability. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Mar 2011]","4p14","102579","ENSG00000035928","RFC1_HUMAN","5981","507475"
"RHEB","RHEB2","Ras homolog enriched in brain","This gene is a member of the small GTPase superfamily and encodes a lipid-anchored, cell membrane protein with five repeats of the RAS-related GTP-binding region. This protein is vital in regulation of growth and cell cycle progression due to its role in the insulin/TOR/S6K signaling pathway. The protein has GTPase activity and shuttles between a GDP-bound form and a GTP-bound form, and farnesylation of the protein is required for this activity. Three pseudogenes have been mapped, two on chromosome 10 and one on chromosome 22. [provided by RefSeq, Jul 2008]","7q36.1","601293","ENSG00000106615","A0A090N900_HUMAN","6009","283521"
"RHOA","ARHA; ARH12; RHO12; RHOH12","ras homolog family member A","This gene encodes a member of the Rho family of small GTPases, which cycle between inactive GDP-bound and active GTP-bound states and function as molecular switches in signal transduction cascades. Rho proteins promote reorganization of the actin cytoskeleton and regulate cell shape, attachment, and motility. Overexpression of this gene is associated with tumor cell proliferation and metastasis. Multiple alternatively spliced variants have been identified. [provided by RefSeq, Sep 2015]","3p21.31","165390","ENSG00000067560","A0A024R324_HUMAN","387","247077"
"RHOBTB3","","Rho related BTB domain containing 3","RHOBTB3 is a member of the evolutionarily conserved RHOBTB subfamily of Rho GTPases. For background information on RHOBTBs, see RHOBTB1 (MIM 607351).[supplied by OMIM, Apr 2004]","5q15","607353","ENSG00000164292","RHBT3_HUMAN","22836","445030"
"RIC8A","RIC8","RIC8 guanine nucleotide exchange factor A","","11p15.5","609146","ENSG00000177963","RIC8A_HUMAN","60626","592292"
"RICTOR","PIA; AVO3; hAVO3","RPTOR independent companion of MTOR complex 2","RICTOR and MTOR (FRAP1; MIM 601231) are components of a protein complex that integrates nutrient- and growth factor-derived signals to regulate cell growth (Sarbassov et al., 2004 [PubMed 15268862]).[supplied by OMIM, Mar 2008]","5p13.1","609022","ENSG00000164327","RICTR_HUMAN","253260","407926"
"RNASEH1","RNH1; H1RNA; PEOB2","ribonuclease H1","This gene encodes an endonuclease that specifically degrades the RNA of RNA-DNA hybrids and is necessary for DNA replication and repair. This enzyme is present in both mitochondria and nuclei, which are resulted from translation of a single mRNA with two in-frame initiation start codons. The use of the first start codon produces the mitochondrial isoform and the use of the second start codon produces the nuclear isoform. The production of the mitochondrial isoform is modulated by an upstream open reading frame (uORF) which overlaps the first initiation start codon in human. An alternately spliced transcript variant has been found which encodes a shorter isoform. This gene has three pseudogenes; two of them are at different locations of chromosome 17 and one of them is on chromosome 1q32.2. [provided by RefSeq, Sep 2014]","2p25.3","604123","ENSG00000171865","B3KUD4_HUMAN","246243","568006"
"RNF145","","ring finger protein 145","","5q33.3","","ENSG00000145860","A8K9Y9_HUMAN","153830","349306"
"RNF219-AS1","POU4F1-AS1","RNF219 antisense RNA 1","","13q22.3-q31.1","","ENSG00000234377","","100874222","493062"
"RNR2","MTRNR2","","","MT","561010","","","4550",""
"RORB","RZRB; NR1F2; ROR-BETA; RZR-BETA; bA133M9.1","RAR related orphan receptor B","The protein encoded by this gene is a member of the NR1 subfamily of nuclear hormone receptors. It is a DNA-binding protein that can bind as a monomer or as a homodimer to hormone response elements upstream of several genes to enhance the expression of those genes. The encoded protein has been shown to interact with NM23-2, a nucleoside diphosphate kinase involved in organogenesis and differentiation, and to help regulate the expression of some genes involved in circadian rhythm. [provided by RefSeq, Feb 2014]","9q21.13","601972","ENSG00000198963","Q58EY0_HUMAN","6096","494178"
"RPA1","HSSB; RF-A; RP-A; REPA1; RPA70; MST075","replication protein A1","","17p13.3","179835","ENSG00000132383","RFA1_HUMAN","6117","461925"
"RPS6","S6","ribosomal protein S6","Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a cytoplasmic ribosomal protein that is a component of the 40S subunit. The protein belongs to the S6E family of ribosomal proteins. It is the major substrate of protein kinases in the ribosome, with subsets of five C-terminal serine residues phosphorylated by different protein kinases. Phosphorylation is induced by a wide range of stimuli, including growth factors, tumor-promoting agents, and mitogens. Dephosphorylation occurs at growth arrest. The protein may contribute to the control of cell growth and proliferation through the selective translation of particular classes of mRNA. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008]","9p22.1","180460","ENSG00000137154","A2A3R6_HUMAN","6194","408073"
"RPS6KA1","RSK; HU-1; RSK1; p90Rsk; MAPKAPK1A","ribosomal protein S6 kinase A1","This gene encodes a member of the RSK (ribosomal S6 kinase) family of serine/threonine kinases. This kinase contains 2 nonidentical kinase catalytic domains and phosphorylates various substrates, including members of the mitogen-activated kinase (MAPK) signalling pathway. The activity of this protein has been implicated in controlling cell growth and differentiation. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]","1p36.11","601684","ENSG00000117676","KS6A1_HUMAN","6195","149957"
"RPS6KA2","RSK; HU-2; RSK3; p90RSK2; p90-RSK3; pp90RSK3; MAPKAPK1C; S6K-alpha; S6K-alpha2","ribosomal protein S6 kinase A2","This gene encodes a member of the RSK (ribosomal S6 kinase) family of serine/threonine kinases. This kinase contains two non-identical kinase catalytic domains and phosphorylates various substrates, including members of the mitogen-activated kinase (MAPK) signalling pathway. The activity of this protein has been implicated in controlling cell growth and differentiation. Alternative splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jan 2016]","6q27","601685","ENSG00000071242","B7Z3B5_HUMAN","6196","655277"
"RPS6KB1","S6K; PS6K; S6K1; STK14A; p70-S6K; p70; S6KA; p70-alpha; S6K-beta-1; p70(S6K)-alpha","ribosomal protein S6 kinase B1","This gene encodes a member of the ribosomal S6 kinase family of serine/threonine kinases. The encoded protein responds to mTOR (mammalian target of rapamycin) signaling to promote protein synthesis, cell growth, and cell proliferation. Activity of this gene has been associated with human cancer. Alternatively spliced transcript variants have been observed. The use of alternative translation start sites results in isoforms with longer or shorter N-termini which may differ in their subcellular localizations. There are two pseudogenes for this gene on chromosome 17. [provided by RefSeq, Jan 2013]","17q23.1","608938","ENSG00000108443","KS6B1_HUMAN","6198","463642"
"RPTOR","KOG1; Mip1","regulatory associated protein of MTOR complex 1","This gene encodes a component of a signaling pathway that regulates cell growth in response to nutrient and insulin levels. The encoded protein forms a stoichiometric complex with the mTOR kinase, and also associates with eukaryotic initiation factor 4E-binding protein-1 and ribosomal protein S6 kinase. The protein positively regulates the downstream effector ribosomal protein S6 kinase, and negatively regulates the mTOR kinase. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]","17q25.3","607130","ENSG00000141564","Q6DKI0_HUMAN","57521","133044"
"RRAGA","FIP1; RAGA; FIP-1","Ras related GTP binding A","","9p22.1","612194","ENSG00000155876","RRAGA_HUMAN","10670","743260"
"RRAGB","RAGB; bA465E19.1","Ras related GTP binding B","Ras-homologous GTPases constitute a large family of signal transducers that alternate between an activated, GTP-binding state and an inactivated, GDP-binding state. These proteins represent cellular switches that are operated by GTP-exchange factors and factors that stimulate their intrinsic GTPase activity. All GTPases of the Ras superfamily have in common the presence of six conserved motifs involved in GTP/GDP binding, three of which are phosphate-/magnesium-binding sites (PM1-PM3) and three of which are guanine nucleotide-binding sites (G1-G3). Transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Jul 2008]","Xp11.21","300725","ENSG00000083750","RRAGB_HUMAN","10325","50282"
"RRAGC","GTR2; RAGC; TIB929","Ras related GTP binding C","This gene encodes a member of the GTR/RAG GTP-binding protein family. The encoded protein is a monomeric guanine nucleotide-binding protein which forms a heterodimer with RRAGA and RRAGB and is primarily localized to the cytoplasm. The encoded protein promotes intracellular localization of the mTOR complex. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2012]","1p34.3","608267","ENSG00000116954","B4DQ03_HUMAN","64121","532461"
"RRAGD","RAGD; bA11D8.2.1","Ras related GTP binding D","RRAGD is a monomeric guanine nucleotide-binding protein, or G protein. By binding GTP or GDP, small G proteins act as molecular switches in numerous cell processes and signaling pathways.[supplied by OMIM, Apr 2004]","6q15","608268","ENSG00000025039","RRAGD_HUMAN","58528","31712"
"RUNX3","AML2; CBFA3; PEBP2aC","runt related transcription factor 3","This gene encodes a member of the runt domain-containing family of transcription factors. A heterodimer of this protein and a beta subunit forms a complex that binds to the core DNA sequence 5'-PYGPYGGT-3' found in a number of enhancers and promoters, and can either activate or suppress transcription. It also interacts with other transcription factors. It functions as a tumor suppressor, and the gene is frequently deleted or transcriptionally silenced in cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]","1p36.11","600210","ENSG00000020633","A0A024RAH4_HUMAN","864","170019"
"RYR3","RYR-3","ryanodine receptor 3","The protein encoded by this gene is a ryanodine receptor, which functions to release calcium from intracellular storage for use in many cellular processes. For example, the encoded protein is involved in skeletal muscle contraction by releasing calcium from the sarcoplasmic reticulum followed by depolarization of T-tubules. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]","15q13.3-q14","180903","ENSG00000198838","A0A0U1RRH1_HUMAN","6263","709373"
"SCAF4","SRA4; SFRS15","SR-related CTD associated factor 4","This gene likely encodes a member of the arginine/serine-rich splicing factor family. A similar protein in Rat appears to bind the large subunit of RNA polymerase II and provide a link between transcription and pre-mRNA splicing. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2009]","21q22.11","616023","ENSG00000156304","SFR15_HUMAN","57466","17255"
"SCN9A","PN1; ETHA; NENA; SFNP; FEB3B; NE-NA; GEFSP7; HSAN2D; Nav1.7","sodium voltage-gated channel alpha subunit 9","This gene encodes a voltage-gated sodium channel which plays a significant role in nociception signaling. Mutations in this gene have been associated with primary erythermalgia, channelopathy-associated insensitivity to pain, and paroxysmal extreme pain disorder. [provided by RefSeq, Aug 2009]","2q24.3","603415","ENSG00000169432","SCN9A_HUMAN","6335","439145"
"SDAD1","","SDA1 domain containing 1","","4q21.1","","ENSG00000198301","B4DT66_HUMAN","55153","632604"
"SDC4","SYND4","syndecan 4","The protein encoded by this gene is a transmembrane (type I) heparan sulfate proteoglycan that functions as a receptor in intracellular signaling. The encoded protein is found as a homodimer and is a member of the syndecan proteoglycan family. This gene is found on chromosome 20, while a pseudogene has been found on chromosome 22. [provided by RefSeq, Jul 2008]","20q13.12","600017","ENSG00000124145","B4E1S6_HUMAN","6385","632267"
"SEMA4A","RP35; SEMB; SEMAB; CORD10","semaphorin 4A","This gene encodes a member of the semaphorin family of soluble and transmembrane proteins. Semaphorins are involved in numerous functions, including axon guidance, morphogenesis, carcinogenesis, and immunomodulation. The encoded protein is a single-pass type I membrane protein containing an immunoglobulin-like C2-type domain, a PSI domain and a sema domain. It inhibits axonal extension by providing local signals to specify territories inaccessible for growing axons. It is an activator of T-cell-mediated immunity and suppresses vascular endothelial growth factor (VEGF)-mediated endothelial cell migration and proliferation in vitro and angiogenesis in vivo. Mutations in this gene are associated with retinal degenerative diseases including retinitis pigmentosa type 35 (RP35) and cone-rod dystrophy type 10 (CORD10). Multiple alternatively spliced transcript variants encoding different isoforms have been identified.[provided by RefSeq, Sep 2010]","1q22","607292","ENSG00000196189","B4DKS5_HUMAN","64218","408846"
"SEMA6A","VIA; SEMA; HT018; SEMAQ; SEMA6A1","semaphorin 6A","The transmembrane semaphorin SEMA6A is expressed in developing neural tissue and is required for proper development of the thalamocortical projection (Leighton et al., 2001 [PubMed 11242070]).[supplied by OMIM, Feb 2011]","5q23.1","605885","ENSG00000092421","A0A0A0MQU6_HUMAN","57556","156967"
"SERPINA1","","","","","","","","",""
"SERPINE1","PAI; PAI1; PAI-1; PLANH1","serpin family E member 1","This gene encodes a member of the serine proteinase inhibitor (serpin) superfamily. This member is the principal inhibitor of tissue plasminogen activator (tPA) and urokinase (uPA), and hence is an inhibitor of fibrinolysis. Defects in this gene are the cause of plasminogen activator inhibitor-1 deficiency (PAI-1 deficiency), and high concentrations of the gene product are associated with thrombophilia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]","7q22.1","173360","ENSG00000106366","A0A024QYT5_HUMAN","5054","414795"
"SGK1","SGK","serum/glucocorticoid regulated kinase 1","This gene encodes a serine/threonine protein kinase that plays an important role in cellular stress response. This kinase activates certain potassium, sodium, and chloride channels, suggesting an involvement in the regulation of processes such as cell survival, neuronal excitability, and renal sodium excretion. High levels of expression of this gene may contribute to conditions such as hypertension and diabetic nephropathy. Several alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jan 2009]","6q23.2","602958","ENSG00000118515","B7Z325_HUMAN","6446","510078"
"SGK3","CISK; SGK2; SGKL","serum/glucocorticoid regulated kinase family member 3","This gene is a member of the Ser/Thr protein kinase family and encodes a phosphoprotein with a PX (phox homology) domain. The protein phosphorylates several target proteins and has a role in neutral amino acid transport and activation of potassium and chloride channels. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]","8q13.1","607591","ENSG00000104205","A0A024R807_HUMAN","23678","613417"
"SGSH","HSS; SFMD; MPS3A","N-sulfoglucosamine sulfohydrolase","This gene encodes one of several enzymes involved in the lysosomal degradation of heparan sulfate. Mutations in this gene are associated with Sanfilippo syndrome A, one type of the lysosomal storage disease mucopolysaccaridosis III, which results from impaired degradation of heparan sulfate. Transcripts of varying sizes have been reported but their biological validity has not been determined. [provided by RefSeq, Jul 2008]","17q25.3","605270","ENSG00000181523","SPHM_HUMAN","6448","31074"
"SH2D4A","SH2A; PPP1R38","SH2 domain containing 4A","","8p21.3","614968","ENSG00000104611","SH24A_HUMAN","63898","303208"
"SH3BP4","TTP; BOG25","SH3 domain binding protein 4","This gene encodes a protein with 3 Asn-Pro-Phe (NPF) motifs, an SH3 domain, a PXXP motif, a bipartite nuclear targeting signal, and a tyrosine phosphorylation site. This protein is involved in cargo-specific control of clathrin-mediated endocytosis, specifically controlling the internalization of a specific protein receptor. [provided by RefSeq, Jul 2008]","2q37.2","605611","ENSG00000130147","SH3B4_HUMAN","23677","516777"
"SH3PXD2B","FTHS; HOFI; TKS4; TSK4; FAD49; KIAA1295","SH3 and PX domains 2B","This gene encodes an adapter protein that is characterized by a PX domain and four Src homology 3 domains. The encoded protein is required for podosome formation and is involved in cell adhesion and migration of numerous cell types. Mutations in this gene are the cause of Frank-ter Haar syndrome (FTHS), and also Borrone Dermato-Cardio-Skeletal (BDCS) syndrome. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Apr 2015]","5q35.1","613293","ENSG00000174705","G3V144_HUMAN","285590","285666"
"SHC1","SHC; SHCA","SHC adaptor protein 1","This gene encodes three main isoforms that differ in activities and subcellular location. While all three are adapter proteins in signal transduction pathways, the longest (p66Shc) may be involved in regulating life span and the effects of reactive oxygen species. The other two isoforms, p52Shc and p46Shc, link activated receptor tyrosine kinases to the Ras pathway by recruitment of the GRB2/SOS complex. p66Shc is not involved in Ras activation. Unlike the other two isoforms, p46Shc is targeted to the mitochondrial matrix. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2011]","1q21.3","600560","ENSG00000160691","SHC1_HUMAN","6464","433795"
"SIRT1","SIR2; SIR2L1; SIR2alpha","sirtuin 1","This gene encodes a member of the sirtuin family of proteins, homologs to the yeast Sir2 protein. Members of the sirtuin family are characterized by a sirtuin core domain and grouped into four classes. The functions of human sirtuins have not yet been determined; however, yeast sirtuin proteins are known to regulate epigenetic gene silencing and suppress recombination of rDNA. Studies suggest that the human sirtuins may function as intracellular regulatory proteins with mono-ADP-ribosyltransferase activity. The protein encoded by this gene is included in class I of the sirtuin family. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2008]","10q21.3","604479","ENSG00000096717","A0A024QZQ1_HUMAN","23411","369779"
"SIRT3","SIR2L3","sirtuin 3","This gene encodes a member of the sirtuin family of proteins, homologs to the yeast Sir2 protein. Members of the sirtuin family are characterized by a sirtuin core domain and grouped into four classes. The functions of human sirtuins have not yet been determined; however, yeast sirtuin proteins are known to regulate epigenetic gene silencing and suppress recombination of rDNA. Studies suggest that the human sirtuins may function as intracellular regulatory proteins with mono-ADP-ribosyltransferase activity. The protein encoded by this gene is included in class I of the sirtuin family. Two alternatively spliced transcript variants that encode different proteins have been described for this gene. [provided by RefSeq, Jul 2008]","11p15.5","604481","ENSG00000142082","SIR3_HUMAN","23410","716456"
"SIRT6","SIR2L6","sirtuin 6","This gene encodes a member of the sirtuin family of NAD-dependent enzymes that are implicated in cellular stress resistance, genomic stability, aging and energy homeostasis. The encoded protein is localized to the nucleus, exhibits ADP-ribosyl transferase and histone deacetylase activities, and plays a role in DNA repair, maintenance of telomeric chromatin, inflammation, lipid and glucose metabolism. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Mar 2016]","19p13.3","606211","ENSG00000077463","B4DDV3_HUMAN","51548","423756"
"SLC13A2","NaCT; NADC1; SDCT1; NaDC-1","solute carrier family 13 member 2","The protein encoded by this gene is a sodium-coupled citrate transporter that is regulated by the chaperone activity of cyclophilin b. The encoded protein may play a role in the formation of kidney stones. [provided by RefSeq, Oct 2016]","17q11.2","604148","ENSG00000007216","S13A2_HUMAN","9058","102307"
"SLC25A14","UCP5; BMCP1","solute carrier family 25 member 14","Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). Uncoupling proteins separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. Uncoupling proteins facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. This gene is widely expressed in many tissues with the greatest abundance in brain and testis. Alternative splicing results in multiple transcript variants. A pseudogene of this gene has been defined on chromosome 4. [provided by RefSeq, Aug 2013]","Xq26.1","300242","ENSG00000102078","B4DMK1_HUMAN","9016","194686"
"SLC25A21","ODC; ODC1","solute carrier family 25 member 21","SLC25A21 is a homolog of the S. cerevisiae ODC proteins, mitochondrial carriers that transport C5-C7 oxodicarboxylates across inner mitochondrial membranes. One of the species transported by ODC is 2-oxoadipate, a common intermediate in the catabolism of lysine, tryptophan, and hydroxylysine in mammals. Within mitochondria, 2-oxoadipate is converted into acetyl-CoA.[supplied by OMIM, Apr 2004]","14q13.3","607571","ENSG00000183032","ODC_HUMAN","89874","730857"
"SLC25A27","UCP4","solute carrier family 25 member 27","Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. Transcripts of this gene are only detected in brain tissue and are specifically modulated by various environmental conditions. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Feb 2011]","6p12.3","613725","ENSG00000153291","B4DHR4_HUMAN","9481","40510"
"SLC2A4","GLUT4","solute carrier family 2 member 4","This gene is a member of the solute carrier family 2 (facilitated glucose transporter) family and encodes a protein that functions as an insulin-regulated facilitative glucose transporter. In the absence of insulin, this integral membrane protein is sequestered within the cells of muscle and adipose tissue. Within minutes of insulin stimulation, the protein moves to the cell surface and begins to transport glucose across the cell membrane. Mutations in this gene have been associated with noninsulin-dependent diabetes mellitus (NIDDM). [provided by RefSeq, Jul 2008]","17p13.1","138190","ENSG00000181856","GTR4_HUMAN","6517","380691"
"SLC30A8","ZNT8; ZnT-8","solute carrier family 30 member 8","The protein encoded by this gene is a zinc efflux transporter involved in the accumulation of zinc in intracellular vesicles. This gene is expressed at a high level only in the pancreas, particularly in islets of Langerhans. The encoded protein colocalizes with insulin in the secretory pathway granules of the insulin-secreting INS-1 cells. Allelic variants of this gene exist that confer susceptibility to diabetes mellitus, noninsulin-dependent (NIDDM). Several transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Mar 2010]","8q24.11","611145","ENSG00000164756","ZNT8_HUMAN","169026","532270"
"SLC39A10","LZT-Hs2","solute carrier family 39 member 10","Zinc is an essential cofactor for hundreds of enzymes. It is involved in protein, nucleic acid, carbohydrate, and lipid metabolism, as well as in the control of gene transcription, growth, development, and differentiation. SLC39A10 belongs to a subfamily of proteins that show structural characteristics of zinc transporters (Taylor and Nicholson, 2003 [PubMed 12659941]).[supplied by OMIM, Mar 2008]","2q32.3","608733","ENSG00000196950","A0A024R3W5_HUMAN","57181","650158"
"SLC4A4","KNBC; NBC1; NBC2; pNBC; HNBC1; hhNMC; kNBC1; SLC4A5; NBCe1-A","solute carrier family 4 member 4","This gene encodes a sodium bicarbonate cotransporter (NBC) involved in the regulation of bicarbonate secretion and absorption and intracellular pH. Mutations in this gene are associated with proximal renal tubular acidosis. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008]","4q13.3","603345","ENSG00000080493","A0A024RD97_HUMAN","8671","5462"
"SLC6A3","DAT; DAT1; PKDYS","solute carrier family 6 member 3","This gene encodes a dopamine transporter which is a member of the sodium- and chloride-dependent neurotransmitter transporter family. The 3' UTR of this gene contains a 40 bp tandem repeat, referred to as a variable number tandem repeat or VNTR, which can be present in 3 to 11 copies. Variation in the number of repeats is associated with idiopathic epilepsy, attention-deficit hyperactivity disorder, dependence on alcohol and cocaine, susceptibility to Parkinson disease and protection against nicotine dependence.[provided by RefSeq, Nov 2009]","5p15.33","126455","ENSG00000142319","SC6A3_HUMAN","6531","406"
"SLC6A4","HTT; 5HTT; OCD1; SERT; 5-HTT; SERT1; hSERT; 5-HTTLPR","solute carrier family 6 member 4","This gene encodes an integral membrane protein that transports the neurotransmitter serotonin from synaptic spaces into presynaptic neurons. The encoded protein terminates the action of serotonin and recycles it in a sodium-dependent manner. This protein is a target of psychomotor stimulants, such as amphetamines and cocaine, and is a member of the sodium:neurotransmitter symporter family. A repeat length polymorphism in the promoter of this gene has been shown to affect the rate of serotonin uptake and may play a role in sudden infant death syndrome, aggressive behavior in Alzheimer disease patients, and depression-susceptibility in people experiencing emotional trauma. [provided by RefSeq, Jul 2008]","17q11.2","182138","ENSG00000108576","B2R7Y7_HUMAN","6532","29792"
"SLC6A7","PROT","solute carrier family 6 member 7","This gene is a member of the gamma-aminobutyric acid (GABA) neurotransmitter gene family and encodes a high-affinity mammalian brain L-proline transporter protein. This transporter protein differs from other sodium-dependent plasma membrane carriers by its pharmacological specificity, kinetic properties, and ionic requirements. [provided by RefSeq, Jul 2008]","5q32","606205","ENSG00000011083","SC6A7_HUMAN","6534","241597"
"SLC9A3R2","SIP1; OCTS2; SIP-1; TKA-1; E3KARP; NHERF2; NHE3RF2; NHERF-2","SLC9A3 regulator 2","This gene encodes a member of the NHERF family of PDZ scaffolding proteins. These proteins mediate many cellular processes by binding to and regulating the membrane expression and protein-protein interactions of membrane receptors and transport proteins. The encoded protein plays a role in intestinal sodium absorption by regulating the activity of the sodium/hydrogen exchanger 3, and may also regulate the cystic fibrosis transmembrane regulator (CFTR) ion channel. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Nov 2011]","16p13.3","606553","ENSG00000065054","NHRF2_HUMAN","9351","440896"
"SLCO1B1","LST1; HBLRR; LST-1; OATP2; OATPC; OATP-C; OATP1B1; SLC21A6","solute carrier organic anion transporter family member 1B1","This gene encodes a liver-specific member of the organic anion transporter family. The encoded protein is a transmembrane receptor that mediates the sodium-independent uptake of numerous endogenous compounds including bilirubin, 17-beta-glucuronosyl estradiol and leukotriene C4. This protein is also involved in the removal of drug compounds such as statins, bromosulfophthalein and rifampin from the blood into the hepatocytes. Polymorphisms in the gene encoding this protein are associated with impaired transporter function. [provided by RefSeq, Mar 2009]","12p12.1","604843","ENSG00000134538","A0A024RAU7_HUMAN","10599","449738"
"SMAD7","CRCS3; MADH7; MADH8","SMAD family member 7","The protein encoded by this gene is a nuclear protein that binds the E3 ubiquitin ligase SMURF2. Upon binding, this complex translocates to the cytoplasm, where it interacts with TGF-beta receptor type-1 (TGFBR1), leading to the degradation of both the encoded protein and TGFBR1. Expression of this gene is induced by TGFBR1. Variations in this gene are a cause of susceptibility to colorectal cancer type 3 (CRCS3). Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010]","18q21.1","602932","ENSG00000101665","B3KYA8_HUMAN","4092","465087"
"SNAP25-AS1","","SNAP25 antisense RNA 1","","20p12.2","","ENSG00000227906","","100131208","658178"
"SNCA","PD1; NACP; PARK1; PARK4","synuclein alpha","Alpha-synuclein is a member of the synuclein family, which also includes beta- and gamma-synuclein. Synucleins are abundantly expressed in the brain and alpha- and beta-synuclein inhibit phospholipase D2 selectively. SNCA may serve to integrate presynaptic signaling and membrane trafficking. Defects in SNCA have been implicated in the pathogenesis of Parkinson disease. SNCA peptides are a major component of amyloid plaques in the brains of patients with Alzheimer's disease. Alternatively spliced transcripts encoding different isoforms have been identified for this gene. [provided by RefSeq, Feb 2016]","4q22.1","163890","ENSG00000145335","H6UYS5_HUMAN","6622","21374"
"SOCS1","JAB; CIS1; SSI1; TIP3; CISH1; SSI-1; SOCS-1","suppressor of cytokine signaling 1","This gene encodes a member of the STAT-induced STAT inhibitor (SSI), also known as suppressor of cytokine signaling (SOCS), family. SSI family members are cytokine-inducible negative regulators of cytokine signaling. The expression of this gene can be induced by a subset of cytokines, including IL2, IL3 erythropoietin (EPO), CSF2/GM-CSF, and interferon (IFN)-gamma. The protein encoded by this gene functions downstream of cytokine receptors, and takes part in a negative feedback loop to attenuate cytokine signaling. Knockout studies in mice suggested the role of this gene as a modulator of IFN-gamma action, which is required for normal postnatal growth and survival. [provided by RefSeq, Jul 2008]","16p13.13","603597","ENSG00000185338","Q4JHT5_HUMAN","8651","50640"
"SOCS2","CIS2; SSI2; Cish2; SSI-2; SOCS-2; STATI2","suppressor of cytokine signaling 2","This gene encodes a member of the suppressor of cytokine signaling (SOCS) family. SOCS family members are cytokine-inducible negative regulators of cytokine receptor signaling via the Janus kinase/signal transducer and activation of transcription pathway (the JAK/STAT pathway). SOCS family proteins interact with major molecules of signaling complexes to block further signal transduction, in part, by proteasomal depletion of receptors or signal-transducing proteins via ubiquitination. The expression of this gene can be induced by a subset of cytokines, including erythropoietin, GM-CSF, IL10, interferon (IFN)-gamma and by cytokine receptors such as growth horomone receptor. The protein encoded by this gene interacts with the cytoplasmic domain of insulin-like growth factor-1 receptor (IGF1R) and is thought to be involved in the regulation of IGF1R mediated cell signaling. This gene has pseudogenes on chromosomes 20 and 22. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2012]","12q22","605117","ENSG00000120833","A0A024RBD2_HUMAN","8835","485572"
